COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-10年屋齡房屋數,11-20年屋齡房屋數,21-30年屋齡房屋數,31-40年屋齡房屋數,41-50年屋齡房屋數,51-60年屋齡房屋數,61年以上房屋數,資料時間
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,46,33,32,50,71,16,251,104Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,0,0,0,0,0,0,0,104Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,53,78,113,145,111,55,558,104Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,30,56,59,193,213,60,631,104Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,40,65,35,49,105,44,346,104Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,63,121,129,379,229,54,992,104Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,2,7,,9,8,1,27,104Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,85,112,242,517,228,22,1207,104Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,48,101,48,131,81,56,493,104Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,51,44,37,76,129,6,347,104Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,60,159,274,87,76,30,689,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,12,14,16,25,20,12,104,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,31,34,45,86,57,28,300,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,9,4,9,45,22,13,104,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,40,84,65,74,55,23,357,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,21,22,12,46,26,17,148,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,16,44,37,90,25,13,236,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,59,67,92,101,72,50,474,104Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,54,30,29,110,168,79,493,104Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,10,23,43,58,22,10,172,104Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,4,11,9,20,12,3,61,104Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,20,40,76,35,43,22,244,104Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,50,97,244,219,207,88,934,104Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,13,16,16,21,18,9,102,104Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,18,10,23,29,4,,85,104Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,13,9,11,33,42,26,144,104Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,6,12,13,23,17,11,83,104Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,8,13,13,8,16,3,61,104Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,41,86,91,133,129,31,514,104Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,22,32,77,124,85,41,385,104Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,40,46,152,111,47,38,439,104Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,17,5,7,10,20,2,61,104Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,32,45,35,78,42,78,316,104Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,60,61,55,150,66,62,460,104Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,143,150,177,288,140,127,1044,104Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,16,47,37,60,30,32,229,104Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,61,61,70,181,177,65,619,104Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,21,33,15,50,17,36,178,104Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,66,115,151,316,274,60,1005,104Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,20,35,66,76,97,31,335,104Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,46,49,101,119,80,74,489,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,45,42,61,102,123,10,389,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,21,20,43,81,68,15,248,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,19,24,23,31,74,9,186,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,0,0,0,0,0,0,0,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,91,102,162,199,216,33,814,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,102,130,171,175,141,36,770,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,32,30,38,93,80,23,301,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,55,45,110,118,162,9,499,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,20,35,76,92,47,11,284,104Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,58,18,33,78,70,33,290,104Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,46,32,64,73,69,8,292,104Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,67,76,80,115,145,38,536,104Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,28,73,41,67,119,84,415,104Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,26,23,24,45,47,9,174,104Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,0,0,0,0,0,0,0,104Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,17,28,41,85,40,21,292,104Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,56,62,37,64,39,17,337,104Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,9,21,21,21,9,,81,104Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,9,6,7,39,2,,63,104Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,2,4,1,3,,,10,104Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,14,55,58,71,31,7,243,104Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,10,36,26,41,13,3,129,104Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,22,15,16,26,11,,90,104Y
10014,臺東縣,10014130,延平鄉,10014130-001,武陵村,22,44,24,49,40,17,197,104Y
10014,臺東縣,10014130,延平鄉,10014130-002,永康村,7,4,6,,53,,70,104Y
10014,臺東縣,10014130,延平鄉,10014130-003,紅葉村,8,13,30,13,29,14,107,104Y
10014,臺東縣,10014130,延平鄉,10014130-004,鸞山村,20,26,9,39,48,11,153,104Y
10014,臺東縣,10014130,延平鄉,10014130-005,桃源村,30,66,65,49,87,27,325,104Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,24,30,23,12,21,2,112,104Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,22,31,21,22,33,2,131,104Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,178,42,34,58,22,2,336,104Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,14,19,36,32,13,,114,104Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,10,10,15,14,28,1,78,104Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,,1,,,,,1,104Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,0,0,0,0,0,0,0,104Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,2,15,24,57,,,98,104Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,23,27,28,105,16,1,200,104Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,17,17,17,52,,,103,104Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,4,,12,32,,,48,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,31,105,13,8,,,158,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,18,42,5,5,1,,71,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,38,92,15,11,14,,170,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,27,108,25,16,3,1,180,104Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,21,24,23,70,72,15,228,105Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,1,,,2,,,3,105Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,319,256,68,131,35,8,818,105Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,109,187,190,461,118,27,1103,105Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,178,265,375,143,69,56,1097,105Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,64,43,124,149,128,12,521,105Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,202,294,566,601,118,34,1825,105Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,99,94,272,653,187,56,1378,105Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,10,36,62,108,61,40,320,105Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,18,33,92,197,436,10,788,105Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,133,159,318,290,250,57,1218,105Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,122,145,401,646,295,66,1680,105Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,21,37,67,119,225,28,510,105Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,9,18,36,83,61,12,220,105Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,14,18,45,54,87,26,248,105Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,15,30,35,52,33,82,286,105Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,12,29,21,127,64,44,302,105Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,22,34,73,53,133,79,408,105Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,6,14,36,43,66,76,266,105Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,13,31,62,75,55,78,339,105Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,16,21,35,78,45,95,329,105Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,17,32,51,62,65,82,341,105Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,9,21,96,47,35,20,244,105Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,5,1,40,48,120,96,329,105Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,30,21,80,46,76,97,364,105Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,9,36,62,34,72,68,289,105Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,16,32,8,43,58,70,230,105Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,9,8,26,40,44,32,177,105Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,24,16,32,57,65,17,213,105Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,18,28,68,19,33,22,191,105Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,77,48,4,123,1,,253,105Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,162,141,238,27,67,13,649,105Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,54,55,145,50,59,6,371,105Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,65,33,51,34,26,6,217,105Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,17,46,72,34,18,22,213,105Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,33,49,241,416,75,59,880,105Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,41,12,18,63,123,74,336,105Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,298,446,962,698,279,5,2691,105Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,131,99,345,672,129,6,1385,105Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,26,23,40,16,22,7,134,105Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,6,3,,1,4,1,15,105Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,21,23,78,60,25,13,227,105Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,10,6,56,31,14,3,120,105Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,21,17,47,35,32,10,166,105Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,41,62,140,39,24,16,331,105Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,19,20,17,30,20,11,120,105Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,36,36,72,105,142,18,430,105Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,50,67,72,158,177,37,566,105Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,37,64,145,212,213,62,754,105Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,53,102,446,257,148,58,1073,105Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,7,,,,2,1,11,105Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,47,73,224,346,237,106,1123,105Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,15,18,61,75,81,27,280,105Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,99,78,146,231,276,70,916,105Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,36,39,51,80,122,58,438,105Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,52,53,80,104,25,17,359,105Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,47,55,49,68,64,39,353,105Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,11,37,60,88,66,66,384,105Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,0,0,0,0,0,0,0,105Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,20,6,1,10,10,2,61,105Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,29,25,30,56,100,27,315,105Y
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,10,13,63,56,45,11,202,105Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,24,41,11,21,113,11,225,105Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,44,34,26,50,74,20,251,105Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,0,0,0,0,0,0,0,105Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,39,76,120,132,127,58,558,105Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,27,37,78,169,234,65,632,105Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,38,50,47,49,98,50,346,105Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,53,105,125,376,260,54,989,105Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,21,1,1,1,4,,29,105Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,82,75,271,460,291,28,1209,105Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,48,85,56,129,91,53,491,105Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,49,43,36,81,130,8,350,105Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,51,78,311,127,80,36,687,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,11,10,11,31,22,10,101,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,26,32,50,80,65,31,299,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,6,6,6,49,24,7,101,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,25,68,62,62,63,17,316,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,19,19,13,43,27,21,144,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,8,40,34,102,23,13,235,105Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,60,39,118,104,69,48,470,105Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,52,28,32,85,185,87,493,105Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,8,15,45,66,27,6,172,105Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,8,8,10,20,9,2,61,105Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,21,24,82,43,49,20,246,105Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,46,77,265,207,194,116,935,105Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,12,19,9,28,22,11,103,105Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,26,4,3,47,4,2,86,105Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,9,15,10,27,42,32,144,105Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,11,9,8,21,26,6,83,105Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,10,10,13,14,11,3,62,105Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,44,66,108,114,152,25,514,105Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,19,29,69,129,97,41,389,105Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,36,25,168,117,55,33,438,105Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,15,7,7,11,21,1,62,105Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,27,41,39,76,47,75,315,105Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,65,45,59,130,88,66,461,105Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,129,124,189,291,165,122,1046,105Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,15,37,49,42,50,29,228,105Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,59,43,88,183,178,59,618,105Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,22,30,16,41,25,37,179,105Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,57,65,185,291,307,76,1003,105Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,24,25,54,97,82,39,334,105Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,39,41,97,127,88,72,485,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,45,50,46,81,152,15,391,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,21,19,22,101,72,14,249,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,16,21,21,37,69,13,186,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,0,0,0,0,0,0,0,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,70,88,164,214,223,45,814,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,82,117,179,189,148,38,767,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,33,37,24,96,83,19,300,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,58,52,73,132,153,34,502,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,21,36,64,86,61,15,285,105Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,57,16,32,76,68,41,290,105Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,36,38,76,69,61,12,293,105Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,73,50,73,127,150,46,535,105Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,24,38,70,66,121,89,415,105Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,21,26,20,40,54,12,173,105Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,0,0,0,0,0,0,0,105Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,14,25,44,74,56,15,292,105Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,53,64,44,57,42,15,339,105Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,9,11,25,21,15,,81,105Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,11,9,7,5,31,,63,105Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,3,4,1,3,,,11,105Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,17,38,62,80,31,7,242,105Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,12,28,31,41,16,3,131,105Y
