COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M3_CNT,A15UP_M4_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶人口數,離婚人口數,喪偶人口數,資料時間
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,364,258,47,60,104Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,626,420,71,103,104Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,506,359,66,84,104Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,164,137,22,37,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,701,687,172,146,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,502,525,144,102,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,322,285,81,74,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,379,452,101,89,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,446,431,102,89,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,344,439,93,127,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,457,589,94,134,104Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,457,356,81,68,104Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,281,269,86,62,104Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,297,287,90,65,104Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,152,136,43,26,104Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,181,182,46,43,104Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,156,138,43,44,104Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,496,566,70,65,104Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,435,444,63,54,104Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,663,732,109,78,104Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,421,322,108,85,104Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,515,465,59,62,104Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,2163,1580,267,199,104Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,357,425,59,79,104Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,856,730,196,157,104Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,343,304,89,67,104Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,738,396,130,51,104Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,310,239,91,61,104Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,1440,1523,321,253,104Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,1392,822,115,82,104Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,409,431,83,64,104Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,1224,1030,174,140,104Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,1779,1331,280,160,104Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,423,324,119,90,104Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,2678,2131,296,275,104Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,1224,1503,171,197,104Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,958,932,233,150,104Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,1844,1463,270,216,104Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,651,594,160,121,104Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,1322,1190,283,253,104Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,1400,1176,355,203,104Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,674,644,162,156,104Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,606,543,194,152,104Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,648,547,135,163,104Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,1022,798,292,209,104Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,448,445,101,84,104Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,2216,1312,252,205,104Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,706,664,130,99,104Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,302,296,74,56,104Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,648,679,200,167,104Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,381,422,112,77,104Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,339,243,87,65,104Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,224,182,64,41,104Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,3374,3159,701,410,104Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,848,643,211,158,104Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,505,460,133,104,104Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,577,406,83,66,104Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,1039,981,211,195,104Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,1367,1263,318,236,104Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,2724,2315,510,387,104Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,1244,1138,204,216,104Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,604,586,116,113,104Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,4221,3876,756,529,104Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,860,739,142,106,104Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,433,382,112,91,104Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,160,225,36,38,104Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,424,420,67,75,104Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,324,349,78,96,104Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,909,807,171,168,104Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,468,415,100,84,104Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,248,260,65,74,104Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,755,791,176,200,104Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,636,533,128,102,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,738,589,90,76,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,687,606,110,65,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,499,329,50,39,104Y
