COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15A19_E1314_CNT,A15A19_E1112_CNT,A15A19_E2122_CNT,A15A19_E3_4_5_CNT,A15A19_E6_7_CNT,A15A19_E8_9_CNT,A15A19_E1_2_CNT,A15A19_E03_CNT,A15A19_E04_CNT,A20A24_E1314_CNT,A20A24_E1112_CNT,A20A24_E2122_CNT,A20A24_E3_4_5_CNT,A20A24_E6_7_CNT,A20A24_E8_9_CNT,A20A24_E1_2_CNT,A20A24_E03_CNT,A20A24_E04_CNT,A25A29_E1314_CNT,A25A29_E1112_CNT,A25A29_E2122_CNT,A25A29_E3_4_5_CNT,A25A29_E6_7_CNT,A25A29_E8_9_CNT,A25A29_E1_2_CNT,A25A29_E03_CNT,A25A29_E04_CNT,A30A34_E1314_CNT,A30A34_E1112_CNT,A30A34_E2122_CNT,A30A34_E3_4_5_CNT,A30A34_E6_7_CNT,A30A34_E8_9_CNT,A30A34_E1_2_CNT,A30A34_E03_CNT,A30A34_E04_CNT,A35A39_E1314_CNT,A35A39_E1112_CNT,A35A39_E2122_CNT,A35A39_E3_4_5_CNT,A35A39_E6_7_CNT,A35A39_E8_9_CNT,A35A39_E1_2_CNT,A35A39_E03_CNT,A35A39_E04_CNT,A40A44_E1314_CNT,A40A44_E1112_CNT,A40A44_E2122_CNT,A40A44_E3_4_5_CNT,A40A44_E6_7_CNT,A40A44_E8_9_CNT,A40A44_E1_2_CNT,A40A44_E03_CNT,A40A44_E04_CNT,A45A49_E1314_CNT,A45A49_E1112_CNT,A45A49_E2122_CNT,A45A49_E3_4_5_CNT,A45A49_E6_7_CNT,A45A49_E8_9_CNT,A45A49_E1_2_CNT,A45A49_E03_CNT,A45A49_E04_CNT,A50A54_E1314_CNT,A50A54_E1112_CNT,A50A54_E2122_CNT,A50A54_E3_4_5_CNT,A50A54_E6_7_CNT,A50A54_E8_9_CNT,A50A54_E1_2_CNT,A50A54_E03_CNT,A50A54_E04_CNT,A55A59_E1314_CNT,A55A59_E1112_CNT,A55A59_E2122_CNT,A55A59_E3_4_5_CNT,A55A59_E6_7_CNT,A55A59_E8_9_CNT,A55A59_E1_2_CNT,A55A59_E03_CNT,A55A59_E04_CNT,A60A64_E1314_CNT,A60A64_E1112_CNT,A60A64_E2122_CNT,A60A64_E3_4_5_CNT,A60A64_E6_7_CNT,A60A64_E8_9_CNT,A60A64_E1_2_CNT,A60A64_E03_CNT,A60A64_E04_CNT,A65UP_E1314_CNT,A65UP_E1112_CNT,A65UP_E2122_CNT,A65UP_E3_4_5_CNT,A65UP_E6_7_CNT,A65UP_E8_9_CNT,A65UP_E1_2_CNT,A65UP_E03_CNT,A65UP_E04_CNT,INFO_TIME
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,0,0,8,30,68,13,2,0,0,0,1,44,18,70,2,0,0,0,0,0,26,16,69,10,0,0,0,0,1,22,13,66,28,1,0,0,0,2,10,21,85,50,3,0,0,0,1,8,11,71,62,7,0,0,1,0,3,12,80,61,23,0,1,0,1,8,5,55,74,50,0,1,0,0,2,1,40,36,77,2,2,0,0,1,4,15,19,72,0,1,0,0,6,1,23,33,166,5,10,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,0,0,10,17,73,14,0,0,0,0,1,44,16,33,5,1,0,0,1,4,33,7,38,5,1,0,0,0,3,20,15,60,17,0,0,0,0,2,16,18,56,30,4,0,0,1,4,6,18,48,34,3,0,2,0,1,2,10,48,47,7,0,0,0,0,1,9,39,64,18,0,0,0,1,1,4,20,30,40,0,0,1,0,2,0,17,8,80,0,1,0,0,0,1,6,17,190,0,16,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,0,0,3,5,24,1,0,0,0,0,0,20,6,23,1,0,0,0,0,1,24,7,24,3,0,0,0,1,1,8,9,43,10,0,0,1,0,2,4,7,24,14,0,0,0,0,1,6,5,24,16,3,0,0,0,3,4,7,38,22,0,0,0,0,1,0,6,25,41,16,0,0,0,0,0,0,17,25,29,0,2,0,0,1,1,6,12,36,0,1,0,0,0,1,4,14,138,2,33,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,0,0,19,20,59,3,1,0,0,0,2,66,13,32,3,0,0,0,1,8,69,11,24,4,0,0,0,0,11,44,15,38,12,3,0,0,0,8,20,24,48,25,0,0,0,0,3,12,25,60,24,1,0,0,0,1,6,11,61,41,6,0,0,0,3,5,5,68,56,9,0,1,0,1,6,8,35,31,38,0,3,0,2,3,7,19,20,59,2,2,0,1,9,1,26,29,193,3,39,104Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,0,0,8,3,21,1,0,0,0,0,1,19,4,11,3,0,0,0,0,1,10,5,11,0,0,0,0,0,3,9,4,16,2,1,0,0,0,2,5,9,31,8,1,0,0,0,1,8,5,30,13,2,0,0,0,1,2,6,23,31,3,0,0,0,0,1,4,13,29,3,0,1,0,0,0,4,7,8,22,0,1,0,0,2,2,3,5,32,0,2,0,0,0,3,9,10,119,1,47,104Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,0,0,8,8,56,6,2,0,0,0,0,32,4,45,8,0,0,0,0,2,37,3,43,6,1,0,0,0,5,16,11,51,34,22,0,0,0,1,8,9,51,55,23,0,0,0,1,9,4,27,66,14,0,0,1,1,2,4,19,59,40,0,0,0,0,0,5,21,48,66,0,3,0,0,1,4,22,32,82,1,4,0,0,0,0,16,16,88,0,0,0,1,0,3,4,13,226,1,13,104Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,0,0,38,26,131,22,1,0,0,0,5,94,22,75,9,0,0,0,1,6,85,26,78,15,0,0,0,0,5,66,31,92,32,9,0,0,0,9,36,40,98,68,26,0,2,1,5,14,20,71,90,11,0,1,0,4,12,31,71,109,29,1,1,0,1,4,14,69,101,85,0,1,0,0,10,11,41,55,121,1,8,0,0,5,6,30,36,152,0,11,0,0,4,4,22,29,406,1,19,104Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,0,0,5,2,18,1,1,0,0,0,2,26,5,23,3,0,0,0,0,0,13,5,22,1,0,0,0,0,1,7,5,31,6,1,0,0,1,2,3,4,33,18,5,0,0,0,0,3,3,15,26,3,0,1,0,2,4,2,21,27,13,0,0,0,0,0,2,24,32,33,0,1,0,0,3,2,12,22,44,0,0,0,0,0,0,13,10,50,0,0,0,0,1,0,6,16,167,1,7,104Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,0,0,30,17,92,17,0,0,0,0,2,99,14,54,4,0,0,0,0,6,81,16,40,5,2,0,0,0,10,48,39,79,30,6,0,0,0,8,31,42,78,43,20,0,1,0,6,10,15,85,73,11,0,0,0,4,11,26,77,78,21,0,1,1,2,7,15,69,73,35,0,2,0,1,7,11,64,71,65,0,1,0,1,5,8,27,44,113,1,2,0,2,7,14,31,61,288,3,20,104Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,0,0,13,3,20,3,2,0,0,0,0,28,6,39,3,0,0,0,0,0,25,6,28,10,0,0,0,0,0,15,10,31,19,6,0,0,0,1,7,10,34,22,2,0,0,0,0,3,3,23,33,0,0,1,0,2,2,6,32,45,13,0,0,0,2,2,1,28,48,35,0,0,0,0,4,1,17,31,35,0,0,0,0,2,0,11,19,60,0,1,0,0,1,2,9,17,203,2,4,104Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,0,0,26,19,89,15,0,0,0,0,4,90,10,31,4,0,0,0,0,13,77,11,23,6,1,0,0,1,10,42,26,53,21,3,0,0,2,16,37,35,65,29,9,0,0,1,3,16,24,68,54,5,0,0,0,4,11,23,84,29,6,0,0,0,2,8,17,65,59,23,0,1,0,0,10,15,50,59,38,0,1,0,1,5,6,27,44,74,0,1,0,1,8,4,33,46,279,1,16,104Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,0,0,15,7,45,7,0,0,0,0,3,49,10,39,4,0,0,0,0,3,35,7,48,16,1,0,0,0,1,22,19,60,35,13,0,0,0,1,11,24,56,42,16,0,0,0,6,9,16,38,76,22,0,1,0,3,4,9,50,85,45,0,0,1,1,4,11,38,70,79,0,0,0,1,8,9,31,51,83,0,0,0,1,5,5,25,20,115,0,0,0,0,5,3,25,20,357,2,9,104Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,0,0,5,0,20,2,0,0,0,0,0,12,4,20,1,0,0,0,0,0,6,5,12,0,0,0,0,0,0,10,5,20,10,7,0,0,1,0,3,8,15,15,2,0,0,0,0,2,2,16,19,1,0,0,0,1,0,5,17,38,6,0,0,0,2,2,4,21,37,14,0,0,0,0,1,3,14,24,29,0,1,0,0,2,0,4,7,39,0,0,0,0,1,2,8,7,159,0,1,104Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,0,0,2,3,8,1,0,0,0,0,0,14,0,9,1,0,0,0,0,0,6,3,5,1,0,0,0,0,1,5,2,17,1,0,0,0,0,1,3,3,9,8,0,0,0,0,0,2,1,8,6,0,0,1,0,0,1,2,8,5,5,0,0,0,0,0,0,8,23,5,0,1,0,0,0,0,12,19,7,0,0,0,0,0,1,5,10,22,0,0,0,0,2,1,4,5,51,0,13,104Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,0,0,10,7,26,6,1,0,0,0,0,36,9,20,1,0,0,0,0,1,21,5,13,1,0,0,0,1,4,16,11,23,8,0,0,0,1,4,13,18,25,12,0,0,0,0,2,9,7,29,23,4,0,0,0,4,10,3,23,20,3,0,0,1,2,2,7,24,32,6,0,1,0,1,3,2,16,23,20,0,2,0,0,3,7,17,14,41,0,1,0,0,5,5,11,15,123,2,16,104Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,0,0,3,6,21,3,1,0,0,0,0,12,2,21,2,0,0,0,0,0,5,2,13,1,0,0,0,0,2,4,2,22,4,6,0,0,0,2,2,1,19,9,0,0,0,0,2,2,3,12,18,4,0,0,0,1,1,3,10,16,12,0,0,0,0,1,2,9,12,13,0,1,0,0,0,0,5,11,19,0,2,0,0,1,1,2,1,27,0,0,0,0,1,1,2,5,63,1,20,104Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,0,0,3,4,15,4,0,0,0,1,0,7,3,11,1,0,0,0,0,2,6,1,9,1,0,0,0,0,1,3,5,21,1,0,0,0,0,0,4,2,19,7,2,0,0,1,0,0,1,20,11,0,0,0,0,0,2,4,15,14,4,0,0,0,0,1,2,12,19,12,0,0,0,0,0,2,13,9,16,0,1,0,1,1,1,6,5,15,0,3,0,0,1,1,1,13,54,2,11,104Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,0,0,9,9,29,5,3,0,0,0,2,30,10,24,2,0,0,0,0,1,24,3,24,5,2,0,0,1,1,13,5,32,8,0,0,0,1,4,6,7,31,22,4,0,0,0,4,3,10,42,21,2,0,1,0,1,2,11,43,19,3,0,0,0,0,4,2,30,20,9,0,0,0,1,1,4,28,29,22,0,1,0,1,1,3,13,9,50,0,1,0,0,1,2,12,17,138,0,31,104Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,0,0,5,1,11,1,0,0,0,0,0,14,1,7,0,0,0,0,0,1,9,2,6,2,0,1,0,0,0,8,1,13,1,1,0,0,0,1,1,9,10,3,0,0,1,0,0,1,3,14,4,2,0,0,0,0,0,4,20,7,0,0,1,0,0,1,3,15,18,6,0,1,0,0,0,2,4,4,1,0,0,0,0,1,0,6,10,17,1,0,0,0,0,0,3,9,67,0,11,104Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,0,0,7,23,60,7,1,0,0,0,1,35,6,32,2,0,0,0,0,3,28,6,22,3,0,0,0,1,1,10,5,48,5,4,0,0,0,0,14,14,61,10,6,0,0,0,4,10,14,50,39,6,0,0,0,4,8,2,54,35,12,0,1,0,1,5,8,51,46,4,0,2,0,0,1,3,27,38,30,0,0,0,0,5,1,12,12,59,1,1,0,0,2,5,23,20,183,3,34,104Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,0,0,27,18,69,10,2,0,0,0,3,90,17,28,1,0,0,0,0,12,71,11,43,9,1,0,0,1,16,57,27,50,6,4,0,0,1,5,32,28,68,17,5,0,0,0,12,32,30,79,21,3,0,0,0,3,16,20,88,37,6,0,0,0,3,7,27,82,46,8,1,0,0,2,17,19,73,44,27,0,2,0,1,7,9,53,31,63,0,1,0,1,12,15,46,73,219,12,37,104Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,0,0,2,9,34,1,2,0,0,0,1,19,3,18,4,0,0,0,0,2,13,7,16,2,0,0,0,0,1,12,6,25,5,0,0,0,0,1,9,11,27,12,0,0,0,0,3,3,7,32,12,1,0,0,0,4,2,8,35,18,2,0,0,0,0,1,1,39,29,3,0,1,0,1,0,4,13,20,12,0,0,0,0,1,1,6,13,36,0,0,0,0,0,4,7,19,111,0,17,104Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,0,0,8,2,8,2,0,0,1,0,1,12,0,2,0,0,0,1,0,1,12,2,5,0,0,0,0,0,1,8,3,5,3,0,0,0,0,1,3,3,9,4,0,0,0,0,0,1,4,21,3,1,0,0,0,1,0,1,22,8,0,0,0,0,1,2,3,19,15,1,0,0,0,1,1,2,12,13,10,0,0,0,0,1,2,10,3,15,1,0,0,0,0,3,5,16,59,2,8,104Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,0,0,29,30,139,21,1,0,2,0,5,128,28,123,6,1,0,0,1,11,83,32,125,16,1,0,0,0,12,63,39,111,30,6,0,0,1,11,37,49,116,49,11,0,0,0,8,35,34,139,79,6,0,0,0,14,21,33,141,73,12,0,0,0,7,22,23,111,103,33,0,2,0,2,16,14,87,66,75,1,2,2,1,7,9,45,25,127,1,9,0,0,16,15,36,37,188,28,58,104Y
