COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,118.81,2.48,107.06,43.13,12.31,30.83,250.53,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,115.03,2.7,23.62,39.92,13.17,26.75,203.03,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,114.57,2.41,75.64,41.68,13.86,27.83,200.84,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,115.75,2.17,60.41,46.52,8.71,37.81,434.29,105Y12M
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,109.49,2.05,59.72,55.43,14.81,40.62,274.26,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,100,3.31,3532.99,32.35,19.78,12.57,63.55,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,103.95,3.54,112.66,32.48,23.5,8.97,38.18,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,104.79,3.17,8.04,33.72,22.72,11,48.43,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,120.97,3.07,2892.8,36.54,21.26,15.28,71.88,105Y12M
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,106.7,2.98,1.89,34.06,18.48,15.58,84.31,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,135.79,2.5,39.54,51.32,12.09,39.23,324.55,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,122.08,2.56,57.88,41.29,10.11,31.18,308.33,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,146.51,2.68,30.88,47.91,17.67,30.23,171.05,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,121.57,2.64,227.77,42.83,13.15,29.68,225.59,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,140.94,2.4,38.13,41.7,9.73,31.97,328.42,105Y12M
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,127.01,2.39,23.75,49.89,9.13,40.76,446.51,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,125.09,4.11,3.92,29.98,21.73,8.25,37.96,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,103.01,4.27,0.9,39.26,30.17,9.09,30.14,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,126.67,3.57,6.93,30.53,21.39,9.14,42.74,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,114.79,4.01,45,33.92,23.6,10.32,43.72,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,106.09,4,33.15,38.61,28.51,10.1,35.41,105Y12M
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,105.88,3.65,1.82,42.86,27.35,15.51,56.72,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,119.76,2.72,121.09,33.89,12.52,21.37,170.7,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,109.9,2.6,144.54,44.12,15.09,29.03,192.37,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,114.04,2.75,42.63,35.83,12.3,23.53,191.3,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,119.31,2.44,78.37,41.6,12.46,29.13,233.71,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,100.58,2.73,71.31,41.83,15.94,25.89,162.39,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,121.19,2.52,156.54,38.78,8.17,30.61,374.58,105Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,115.96,2.64,233.28,47.56,16.36,31.21,190.78,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,127.92,2.83,10.75,24.35,13.8,10.55,76.42,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,113.23,2.48,32.53,30.51,13.75,16.76,121.92,105Y12M
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,125.08,2.16,13.14,25.96,12.98,12.98,100,105Y12M
