COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,BORN_CNT,BORN_M_CNT,BORN_F_CNT,MARRY_B_CNT,CLAIM_B_CNT,NO_CLAIM_B_CNT,ABANDONED_B_CNT,TAIWAN_B_CNT,NON_TAIWAN_B_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,出生數,出生登記男嬰人口數,出生登記女嬰人口數,婚生人數,非婚生已認領人數,非婚生未認領人數,棄嬰或無依兒童人數,本國籍生母之嬰兒出生數,非本國籍生母之嬰兒出生數,資料時間
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,2,1,1,2,0,0,0,2,0,104Y
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,7,4,3,6,0,1,0,7,0,104Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,13,5,8,11,1,1,0,13,0,104Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,12,7,5,8,0,4,0,12,0,104Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,7,5,2,6,0,1,0,7,0,104Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,4,2,2,4,0,0,0,4,0,104Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,6,4,2,5,0,1,0,6,0,104Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,10,3,7,9,0,1,0,8,2,104Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,3,0,3,3,0,0,0,3,0,104Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,6,5,1,6,0,0,0,5,1,104Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,7,4,3,5,1,1,0,7,0,104Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,1,0,1,0,0,1,0,1,0,104Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,6,2,4,4,0,2,0,6,0,104Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,6,2,4,6,0,0,0,6,0,104Y
