COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,DEAD_CNT,DEAD_M_CNT,DEAD_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,死亡數,死亡登記男性人口數,死亡登記女性人口數,資料時間
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,22,13,9,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,21,11,10,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,11,8,3,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,19,16,3,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,13,7,6,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,14,6,8,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,16,8,8,104Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,10,7,3,104Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,12,9,3,104Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,11,7,4,104Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,5,3,2,104Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,9,4,5,104Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,10,6,4,104Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,10,6,4,104Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,8,5,3,104Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,10,7,3,104Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,4,2,2,104Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,3,2,1,104Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,30,13,17,104Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,14,6,8,104Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,14,10,4,104Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,5,4,1,104Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,7,5,2,104Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,13,6,7,104Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,20,13,7,104Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,10,6,4,104Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,4,1,3,104Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,15,13,2,104Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,17,10,7,104Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,9,6,3,104Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,39,21,18,104Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,22,14,8,104Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,24,16,8,104Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,23,16,7,104Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,15,10,5,104Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,30,17,13,104Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,55,47,8,104Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,27,21,6,104Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,19,11,8,104Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,21,13,8,104Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,23,16,7,104Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,21,12,9,104Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,30,18,12,104Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,14,6,8,104Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,4,2,2,104Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,24,16,8,104Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,20,13,7,104Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,5,2,3,104Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,7,5,2,104Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,57,26,31,104Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,16,11,5,104Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,17,12,5,104Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,5,3,2,104Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,16,9,7,104Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,26,15,11,104Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,45,32,13,104Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,25,15,10,104Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,12,10,2,104Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,70,40,30,104Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,14,10,4,104Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,13,7,6,104Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,4,4,0,104Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,10,7,3,104Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,11,5,6,104Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,25,19,6,104Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,12,3,9,104Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,11,7,4,104Y
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,22,17,5,104Y
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,11,4,7,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,15,9,6,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,11,5,6,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,8,6,2,104Y
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,4,3,1,104Y
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,14,9,5,105Y
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,20,13,7,105Y
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,21,13,8,105Y
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,18,10,8,105Y
10014,臺東縣,10014100,大武鄉,10014100-005,南興村,9,5,4,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-002,三和村,8,5,3,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-006,大王村,19,15,4,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-004,北里村,11,3,8,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-009,多良村,19,10,9,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-008,金崙村,27,21,6,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-001,美和村,24,15,9,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-007,香蘭村,16,10,6,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-005,泰和村,25,11,14,105Y
10014,臺東縣,10014090,太麻里鄉,10014090-003,華源村,10,5,5,105Y
10014,臺東縣,10014020,成功鎮,10014020-003,三仙里,28,17,11,105Y
10014,臺東縣,10014020,成功鎮,10014020-004,三民里,38,24,14,105Y
10014,臺東縣,10014020,成功鎮,10014020-007,和平里,14,4,10,105Y
10014,臺東縣,10014020,成功鎮,10014020-006,忠仁里,41,25,16,105Y
10014,臺東縣,10014020,成功鎮,10014020-002,忠孝里,20,13,7,105Y
10014,臺東縣,10014020,成功鎮,10014020-005,忠智里,21,14,7,105Y
10014,臺東縣,10014020,成功鎮,10014020-008,信義里,45,25,20,105Y
10014,臺東縣,10014020,成功鎮,10014020-001,博愛里,12,6,6,105Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,4,1,3,105Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,12,6,6,105Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,7,6,1,105Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,2,2,0,105Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,16,7,9,105Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,2,1,1,105Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,22,10,12,105Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,18,13,5,105Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,16,11,5,105Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,9,6,3,105Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,33,20,13,105Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,4,2,2,105Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,18,9,9,105Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,21,13,8,105Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,17,11,6,105Y
