COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A15UP_M1_CNT,A15UP_M2_CNT,A15UP_M5_CNT,A15UP_M3_CNT,A15UP_M6_CNT,A15UP_M4_CNT,A15UP_M7_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,未婚人口數,有偶(不同性別)人口數,有偶(相同性別)人口數,離婚(不同性別)人口數,離婚(相同性別)人口數,喪偶(不同性別)人口數,喪偶(相同性別)人口數,資料時間
10014,臺東縣,10014040,卑南鄉,10014040-001,嘉豐村,166,177,0,82,0,60,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-002,利吉村,132,189,0,66,0,58,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-003,富山村,156,177,0,85,0,60,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-004,富源村,95,151,0,47,0,46,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-005,明峰村,381,514,0,147,0,133,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-006,初鹿村,452,535,0,156,0,148,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-007,美農村,386,484,0,124,0,110,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-008,賓朗村,774,991,0,256,0,246,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-009,泰安村,425,427,0,181,2,104,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-010,太平村,1080,1353,2,421,2,280,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-011,利嘉村,422,456,1,159,0,99,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-012,東興村,466,457,0,164,0,104,0,108Y
10014,臺東縣,10014040,卑南鄉,10014040-013,溫泉村,317,520,0,172,0,104,0,108Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,237,275,0,92,0,68,0,108Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,283,414,1,102,0,121,0,108Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,275,412,0,108,0,85,0,108Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,477,646,0,188,0,148,0,108Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,281,441,1,100,0,88,0,108Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,366,482,0,148,0,102,0,108Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,293,553,0,103,0,123,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-001,福文村,386,453,0,161,0,157,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-002,慶豐村,210,297,0,79,0,87,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-003,大坡村,95,146,0,37,0,43,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-004,大埔村,256,378,0,86,0,81,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-005,福原村,643,919,3,201,0,208,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-006,錦園村,87,178,0,40,0,45,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-007,新興村,266,403,1,99,0,92,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-008,萬安村,86,144,0,31,0,50,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-009,富興村,125,180,0,53,0,43,0,108Y
10014,臺東縣,10014060,池上鄉,10014060-010,振興村,141,171,1,70,0,61,0,108Y
10014,臺東縣,10014070,東河鄉,10014070-001,北源村,551,612,2,237,0,204,0,108Y
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,360,525,0,129,0,175,0,108Y
10014,臺東縣,10014070,東河鄉,10014070-003,東河村,352,417,3,117,0,111,0,108Y
10014,臺東縣,10014070,東河鄉,10014070-004,尚德村,78,106,0,42,0,36,0,108Y
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,164,231,0,78,0,78,0,108Y
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,247,408,0,131,0,129,0,108Y
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,663,923,0,278,0,269,0,108Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,184,242,0,87,0,99,0,108Y
