COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
10014,臺東縣,10014070,東河鄉,10014070-002,泰源村,134,70,64,1039,593,446,263,108,155,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-007,都蘭村,260,139,121,1769,981,788,474,210,264,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-005,隆昌村,36,20,16,396,225,171,153,64,89,104Y12M
10014,臺東縣,10014070,東河鄉,10014070-006,興昌村,102,44,58,693,384,309,272,124,148,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,102,51,51,536,274,262,64,28,36,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,109,58,51,466,243,223,35,15,20,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,256,127,129,1120,586,534,116,52,64,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,64,44,20,298,155,143,43,21,22,104Y12M
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,58,31,27,279,150,129,40,18,22,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,122,59,63,948,605,343,355,160,195,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,83,41,42,727,434,293,217,88,129,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,80,41,39,448,286,162,136,67,69,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,216,118,98,1608,934,674,473,216,257,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,92,58,34,1030,617,413,307,160,147,104Y12M
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,46,26,20,494,303,191,197,85,112,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,117,65,52,514,291,223,38,17,21,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,71,31,40,237,125,112,21,8,13,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,127,71,56,554,313,241,48,23,25,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,213,106,107,919,508,411,88,33,55,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,210,110,100,736,385,351,69,27,42,104Y12M
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,67,33,34,251,138,113,42,19,23,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,170,88,82,1276,720,556,260,120,140,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,136,77,59,894,475,419,243,112,131,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,75,36,39,558,318,240,129,52,77,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,93,45,48,719,414,305,209,104,105,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,135,67,68,752,381,371,181,86,95,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,60,38,22,722,417,305,221,93,128,104Y12M
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,144,74,70,871,491,380,259,128,131,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,99,52,47,779,451,328,84,38,46,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,69,29,40,543,304,239,86,38,48,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,79,41,38,588,335,253,72,28,44,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,26,11,15,304,157,147,27,12,15,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,54,27,27,336,190,146,62,30,32,104Y12M
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,51,31,20,278,156,122,52,26,26,104Y12M
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,109,48,61,971,530,441,117,55,62,104Y12M
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,114,64,50,787,423,364,95,43,52,104Y12M
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,157,85,72,1262,646,616,163,78,85,104Y12M
10014,臺東縣,10014010,臺東市,10014010-021,大同里,104,48,56,670,329,341,162,77,85,104Y12M
10014,臺東縣,10014010,臺東市,10014010-024,中山里,242,119,123,666,348,318,193,82,111,104Y12M
10014,臺東縣,10014010,臺東市,10014010-011,中心里,947,498,449,2816,1353,1463,446,202,244,104Y12M
10014,臺東縣,10014010,臺東市,10014010-020,中正里,46,23,23,674,339,335,200,94,106,104Y12M
10014,臺東縣,10014010,臺東市,10014010-015,中華里,206,103,103,1434,751,683,299,128,171,104Y12M
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,55,27,28,611,330,281,137,59,78,104Y12M
10014,臺東縣,10014010,臺東市,10014010-023,文化里,447,236,211,751,367,384,117,52,65,104Y12M
10014,臺東縣,10014010,臺東市,10014010-014,四維里,72,40,32,511,288,223,118,53,65,104Y12M
10014,臺東縣,10014010,臺東市,10014010-008,民生里,275,161,114,2721,1342,1379,541,248,293,104Y12M
10014,臺東縣,10014010,臺東市,10014010-013,民族里,863,445,418,1306,594,712,242,118,124,104Y12M
10014,臺東縣,10014010,臺東市,10014010-018,民權里,91,48,43,736,398,338,160,69,91,104Y12M
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,432,222,210,1878,960,918,258,125,133,104Y12M
10014,臺東縣,10014010,臺東市,10014010-032,光明里,767,382,385,2481,1151,1330,302,134,168,104Y12M
10014,臺東縣,10014010,臺東市,10014010-022,成功里,99,48,51,681,344,337,176,78,98,104Y12M
10014,臺東縣,10014010,臺東市,10014010-012,自強里,1124,599,525,3616,1719,1897,640,288,352,104Y12M
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,282,157,125,2428,1234,1194,385,168,217,104Y12M
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,187,88,99,1793,947,846,293,156,137,104Y12M
10014,臺東縣,10014010,臺東市,10014010-036,東海里,769,399,370,2586,1239,1347,438,206,232,104Y12M
10014,臺東縣,10014010,臺東市,10014010-045,知本里,146,83,63,1175,588,587,205,94,111,104Y12M
10014,臺東縣,10014010,臺東市,10014010-004,南王里,285,154,131,2333,1215,1118,430,202,228,104Y12M
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,350,185,165,2318,1216,1102,466,265,201,104Y12M
10014,臺東縣,10014010,臺東市,10014010-042,建和里,172,96,76,1189,635,554,275,137,138,104Y12M
10014,臺東縣,10014010,臺東市,10014010-017,建國里,117,65,52,1119,611,508,259,115,144,104Y12M
10014,臺東縣,10014010,臺東市,10014010-044,建業里,168,96,72,1075,578,497,250,105,145,104Y12M
10014,臺東縣,10014010,臺東市,10014010-046,建農里,283,134,149,1774,968,806,264,118,146,104Y12M
10014,臺東縣,10014010,臺東市,10014010-043,建興里,84,44,40,799,432,367,195,91,104,104Y12M
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,1078,528,550,2478,1176,1302,429,184,245,104Y12M
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,208,103,105,1200,649,551,191,102,89,104Y12M
10014,臺東縣,10014010,臺東市,10014010-016,強國里,58,31,27,561,309,252,109,46,63,104Y12M
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,141,79,62,1258,692,566,295,139,156,104Y12M
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,110,60,50,724,401,323,158,69,89,104Y12M
10014,臺東縣,10014010,臺東市,10014010-025,復國里,70,42,28,543,277,266,121,61,60,104Y12M
10014,臺東縣,10014010,臺東市,10014010-027,復興里,47,21,26,375,192,183,89,39,50,104Y12M
10014,臺東縣,10014010,臺東市,10014010-007,新生里,789,412,377,5966,2935,3031,889,415,474,104Y12M
10014,臺東縣,10014010,臺東市,10014010-029,新園里,215,113,102,1398,743,655,247,125,122,104Y12M
10014,臺東縣,10014010,臺東市,10014010-037,新興里,120,54,66,856,434,422,226,106,120,104Y12M
10014,臺東縣,10014010,臺東市,10014010-026,興國里,292,156,136,692,331,361,148,57,91,104Y12M
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,292,148,144,1809,915,894,325,158,167,104Y12M
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,286,155,131,2482,1281,1201,416,204,212,104Y12M
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,674,347,327,4543,2314,2229,719,332,387,104Y12M
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,332,190,142,2088,1115,973,382,178,204,104Y12M
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,151,71,80,1033,581,452,235,111,124,104Y12M
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,1148,609,539,7265,3530,3735,969,439,530,104Y12M
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,280,135,145,1348,682,666,219,108,111,104Y12M
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,104,40,64,761,392,369,153,60,93,104Y12M
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,26,14,12,334,171,163,99,40,59,104Y12M
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,135,60,75,661,352,309,190,99,91,104Y12M
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,79,45,34,615,343,272,153,66,87,104Y12M
10014,臺東縣,10014030,關山鎮,10014030-005,里里,262,129,133,1458,730,728,335,148,187,104Y12M
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,145,75,70,760,443,317,162,75,87,104Y12M
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,66,34,32,459,285,174,122,63,59,104Y12M
10014,臺東縣,10014030,關山鎮,10014030-001,德高里,180,94,86,1331,740,591,411,185,226,104Y12M
10014,臺東縣,10014030,關山鎮,10014030-002,豐泉里,200,102,98,1004,522,482,195,95,100,104Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-001,東清村,258,140,118,1142,565,577,93,41,52,104Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-003,紅頭村,205,110,95,1154,589,565,109,47,62,104Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-002,朗島村,144,82,62,712,345,367,61,28,33,104Y12M
10014,臺東縣,10014160,蘭嶼鄉,10014160-004,椰油村,211,107,104,881,456,425,75,36,39,104Y12M
10014,臺東縣,10014100,大武鄉,10014100-001,大竹村,107,58,49,666,362,304,128,56,72,105Y12M
10014,臺東縣,10014100,大武鄉,10014100-003,大武村,210,110,100,1199,637,562,226,99,127,105Y12M
10014,臺東縣,10014100,大武鄉,10014100-002,大鳥村,184,101,83,1026,576,450,142,61,81,105Y12M
10014,臺東縣,10014100,大武鄉,10014100-004,尚武村,148,84,64,1288,666,622,274,125,149,105Y12M
