COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,NATURE_INC_CNT,SOCIAL_INC_CNT,INC_CNT,ENTRY_P_CNT,EXIT_P_CNT,ENTRY_ADDR_CNT,EXIT_ADDR_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,自然增加人數,社會增加人數,總增加人數,遷入人口數,遷出人口數,鄉鎮區內住址變更之遷入人口數,鄉鎮區內住址變更之遷出人口數,資料時間
10014,臺東縣,10014140,金峰鄉,10014140-002,正興村,-3,-3,-6,27,29,5,6,104Y
10014,臺東縣,10014140,金峰鄉,10014140-001,新興村,8,-20,-12,19,40,15,14,104Y
10014,臺東縣,10014140,金峰鄉,10014140-003,嘉蘭村,-9,-45,-54,38,88,39,34,104Y
10014,臺東縣,10014140,金峰鄉,10014140-004,賓茂村,0,10,10,27,18,3,2,104Y
10014,臺東縣,10014140,金峰鄉,10014140-005,歷坵村,-4,-17,-21,7,18,1,7,104Y
10014,臺東縣,10014080,長濱鄉,10014080-002,三間村,-23,-27,-50,45,62,30,40,104Y
10014,臺東縣,10014080,長濱鄉,10014080-005,竹湖村,-12,-10,-22,27,38,6,5,104Y
10014,臺東縣,10014080,長濱鄉,10014080-003,忠勇村,-5,8,3,29,27,20,14,104Y
10014,臺東縣,10014080,長濱鄉,10014080-004,長濱村,-28,3,-25,82,84,46,41,104Y
10014,臺東縣,10014080,長濱鄉,10014080-006,寧埔村,-17,-34,-51,52,93,15,8,104Y
10014,臺東縣,10014080,長濱鄉,10014080-001,樟原村,-8,-24,-32,23,38,11,20,104Y
10014,臺東縣,10014120,海端鄉,10014120-006,加拿村,3,-5,-2,25,29,17,18,104Y
10014,臺東縣,10014120,海端鄉,10014120-003,利稻村,4,-7,-3,5,11,5,6,104Y
10014,臺東縣,10014120,海端鄉,10014120-005,崁頂村,-6,-12,-18,24,35,14,15,104Y
10014,臺東縣,10014120,海端鄉,10014120-004,海端村,-2,-39,-41,45,75,15,24,104Y
10014,臺東縣,10014120,海端鄉,10014120-001,廣原村,3,-2,1,30,39,29,22,104Y
10014,臺東縣,10014120,海端鄉,10014120-002,霧鹿村,2,5,7,10,10,19,14,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-004,永安村,-11,1,-10,62,61,41,41,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-006,鹿野村,-14,17,3,74,56,20,21,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-001,瑞和村,-4,0,-4,21,27,15,9,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-005,瑞隆村,-18,-29,-47,22,50,6,7,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-003,瑞源村,-1,-26,-27,35,58,10,13,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-002,瑞豐村,-12,2,-10,64,57,11,16,104Y
10014,臺東縣,10014050,鹿野鄉,10014050-007,龍田村,-12,12,0,56,48,29,25,104Y
10014,臺東縣,10014150,達仁鄉,10014150-002,土村,-3,-43,-46,19,61,17,18,104Y
10014,臺東縣,10014150,達仁鄉,10014150-001,台村,-2,-11,-13,26,37,11,11,104Y
10014,臺東縣,10014150,達仁鄉,10014150-004,安朔村,-8,-20,-28,48,67,6,7,104Y
10014,臺東縣,10014150,達仁鄉,10014150-006,南田村,-5,-12,-17,7,20,8,7,104Y
10014,臺東縣,10014150,達仁鄉,10014150-005,森永村,-6,-16,-22,18,34,6,6,104Y
10014,臺東縣,10014150,達仁鄉,10014150-003,新化村,-5,-1,-6,11,13,6,5,104Y
10014,臺東縣,10014110,綠島鄉,10014110-002,中寮村,3,-15,-12,74,90,32,31,104Y
10014,臺東縣,10014110,綠島鄉,10014110-001,公館村,4,1,5,65,74,35,25,104Y
10014,臺東縣,10014110,綠島鄉,10014110-003,南寮村,1,-27,-26,110,126,34,45,104Y
10014,臺東縣,10014010,臺東市,10014010-021,大同里,1,-4,-3,17,28,64,57,104Y
10014,臺東縣,10014010,臺東市,10014010-024,中山里,6,7,13,31,28,57,53,104Y
10014,臺東縣,10014010,臺東市,10014010-011,中心里,-4,33,29,129,136,235,195,104Y
10014,臺東縣,10014010,臺東市,10014010-020,中正里,-9,-3,-12,15,31,44,31,104Y
10014,臺東縣,10014010,臺東市,10014010-015,中華里,0,-13,-13,43,69,118,105,104Y
10014,臺東縣,10014010,臺東市,10014010-019,仁愛里,-2,-23,-25,11,20,35,49,104Y
10014,臺東縣,10014010,臺東市,10014010-023,文化里,6,-7,-1,43,60,122,112,104Y
10014,臺東縣,10014010,臺東市,10014010-014,四維里,-10,-14,-24,12,21,36,41,104Y
10014,臺東縣,10014010,臺東市,10014010-008,民生里,1,-38,-37,83,123,194,192,104Y
10014,臺東縣,10014010,臺東市,10014010-013,民族里,18,-61,-43,52,57,126,182,104Y
10014,臺東縣,10014010,臺東市,10014010-018,民權里,16,-41,-25,34,70,51,56,104Y
10014,臺東縣,10014010,臺東市,10014010-034,永樂里,3,5,8,71,79,120,107,104Y
10014,臺東縣,10014010,臺東市,10014010-032,光明里,8,62,70,186,129,199,194,104Y
10014,臺東縣,10014010,臺東市,10014010-022,成功里,-2,-1,-3,25,19,43,50,104Y
10014,臺東縣,10014010,臺東市,10014010-012,自強里,7,-15,-8,166,151,269,299,104Y
10014,臺東縣,10014010,臺東市,10014010-005,卑南里,-3,-17,-20,77,97,133,130,104Y
10014,臺東縣,10014010,臺東市,10014010-003,岩灣里,-9,100,91,164,107,151,108,104Y
10014,臺東縣,10014010,臺東市,10014010-036,東海里,18,-47,-29,96,130,231,244,104Y
10014,臺東縣,10014010,臺東市,10014010-045,知本里,-3,-23,-26,39,55,55,62,104Y
10014,臺東縣,10014010,臺東市,10014010-004,南王里,-16,13,-3,112,101,123,121,104Y
10014,臺東縣,10014010,臺東市,10014010-006,南榮里,-26,38,12,152,131,143,126,104Y
10014,臺東縣,10014010,臺東市,10014010-042,建和里,-18,5,-13,42,30,43,50,104Y
10014,臺東縣,10014010,臺東市,10014010-017,建國里,-10,-35,-45,32,54,69,82,104Y
10014,臺東縣,10014010,臺東市,10014010-044,建業里,-11,24,13,49,28,32,29,104Y
10014,臺東縣,10014010,臺東市,10014010-046,建農里,3,10,13,68,80,128,106,104Y
10014,臺東縣,10014010,臺東市,10014010-043,建興里,-16,-14,-30,32,39,33,40,104Y
10014,臺東縣,10014010,臺東市,10014010-010,馬蘭里,-4,-143,-147,116,116,182,325,104Y
10014,臺東縣,10014010,臺東市,10014010-035,康樂里,0,44,44,62,31,87,74,104Y
10014,臺東縣,10014010,臺東市,10014010-016,強國里,1,4,5,25,23,34,32,104Y
10014,臺東縣,10014010,臺東市,10014010-001,富岡里,-15,-51,-66,39,70,44,64,104Y
10014,臺東縣,10014010,臺東市,10014010-002,富豐里,-9,2,-7,44,42,39,39,104Y
10014,臺東縣,10014010,臺東市,10014010-025,復國里,-1,-25,-26,21,24,24,46,104Y
10014,臺東縣,10014010,臺東市,10014010-027,復興里,-2,-1,-3,15,13,23,26,104Y
10014,臺東縣,10014010,臺東市,10014010-007,新生里,2,28,30,281,260,423,416,104Y
10014,臺東縣,10014010,臺東市,10014010-029,新園里,4,-13,-9,68,62,49,68,104Y
10014,臺東縣,10014010,臺東市,10014010-037,新興里,-12,-14,-26,34,37,54,65,104Y
10014,臺東縣,10014010,臺東市,10014010-026,興國里,12,-17,-5,40,31,77,103,104Y
10014,臺東縣,10014010,臺東市,10014010-030,豐田里,-2,15,13,97,96,131,117,104Y
10014,臺東縣,10014010,臺東市,10014010-031,豐年里,2,198,200,204,110,256,152,104Y
10014,臺東縣,10014010,臺東市,10014010-039,豐谷里,-6,-10,-16,162,196,289,265,104Y
10014,臺東縣,10014010,臺東市,10014010-040,豐里里,-7,35,28,55,62,152,110,104Y
10014,臺東縣,10014010,臺東市,10014010-041,豐原里,-7,14,7,37,39,70,54,104Y
10014,臺東縣,10014010,臺東市,10014010-038,豐榮里,-12,7,-5,310,333,509,479,104Y
10014,臺東縣,10014010,臺東市,10014010-033,豐樂里,-1,-8,-9,43,45,76,82,104Y
10014,臺東縣,10014010,臺東市,10014010-009,寶桑里,-9,-17,-26,30,39,31,39,104Y
10014,臺東縣,10014010,臺東市,10014010-028,鐵花里,-2,-39,-41,13,25,13,40,104Y
10014,臺東縣,10014030,關山鎮,10014030-004,中福里,-5,-26,-31,34,58,16,18,104Y
10014,臺東縣,10014030,關山鎮,10014030-007,月眉里,-6,-3,-9,24,37,25,15,104Y
10014,臺東縣,10014030,關山鎮,10014030-005,里里,-18,-34,-52,84,116,40,42,104Y
10014,臺東縣,10014030,關山鎮,10014030-003,新福里,-2,-17,-19,40,68,28,17,104Y
10014,臺東縣,10014030,關山鎮,10014030-006,電光里,-5,-9,-14,22,30,7,8,104Y
