LCODE_C1,LCODE_C2,LCODE_C3,LCODEC_C1,LCODEC_C2,LCODEC_C3,METHOD,DATATIME,MDDI_ORG,Shape_Leng,Shape_Area,分類,area_ha
01,0106,000000,農業利用土地,農業相關設施, ,1,201809,日陞空間資訊股份有限公司,23.780198323299999,30.776902997800001,01農業利用土地,0.003077690299780
01,0106,000000,農業利用土地,農業相關設施, ,1,201809,日陞空間資訊股份有限公司,37.664699286400001,82.713997249200006,01農業利用土地,0.008271399724920
01,0106,000000,農業利用土地,農業相關設施, ,1,201809,日陞空間資訊股份有限公司,36.028330058800002,80.780225484900001,01農業利用土地,0.008078022548490
01,0106,000000,農業利用土地,農業相關設施, ,1,201809,日陞空間資訊股份有限公司,19.164174766999999,21.539232658100001,01農業利用土地,0.002153923265810
01,0106,000000,農業利用土地,農業相關設施, ,1,201809,日陞空間資訊股份有限公司,26.492775950599999,36.472986650700001,01農業利用土地,0.003647298665070
01,0106,000000,農業利用土地,農業相關設施, ,1,201809,日陞空間資訊股份有限公司,23.417426994200000,32.231508158200000,01農業利用土地,0.003223150815820
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,141.111807569999996,1186.319770130000052,02森林利用土地,0.118631977013000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,2346.507431160000124,108563.218200000002980,02森林利用土地,10.856321820000000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,2940.407986839999921,152391.677155000012135,02森林利用土地,15.239167715500001
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,1022.801328300000023,10039.269175199999154,02森林利用土地,1.003926917520000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,438.203536456999984,4455.784123010000258,02森林利用土地,0.445578412301000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,673.747343816000011,10153.706712900000639,02森林利用土地,1.015370671290000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,265.600107025000000,1548.319058649999988,02森林利用土地,0.154831905865000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,229.778374213000006,2328.370657190000202,02森林利用土地,0.232837065719000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,364.815687233999995,3056.648117920000004,02森林利用土地,0.305664811792000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,1503.469744010000113,70018.343308299998171,02森林利用土地,7.001834330830000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,2530.674543340000128,175064.359820000012405,02森林利用土地,17.506435981999999
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,230.393222299999991,2156.232611460000044,02森林利用土地,0.215623261146000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,337.788910668000028,2227.416429540000081,02森林利用土地,0.222741642954000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,3842.499784550000186,227767.361502000014298,02森林利用土地,22.776736150200001
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,246.747573904000006,1733.005283019999979,02森林利用土地,0.173300528302000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,224.483499751000011,1674.717316590000109,02森林利用土地,0.167471731659000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,3199.692059540000173,100257.387191999994684,02森林利用土地,10.025738719200000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,371.343501306000007,3344.237815169999976,02森林利用土地,0.334423781517000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,188.549151762000008,1237.366848840000102,02森林利用土地,0.123736684884000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,186.347953549000010,922.038357950999966,02森林利用土地,0.092203835795100
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,551.177135096000029,6366.455579849999594,02森林利用土地,0.636645557985000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,334.958727527999997,3896.747866340000201,02森林利用土地,0.389674786634000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,148.659594819999995,1059.647216600000093,02森林利用土地,0.105964721660000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,3470.800092030000087,102810.075563000005786,02森林利用土地,10.281007556300001
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,371.020773344000020,4463.352266939999936,02森林利用土地,0.446335226694000
02,0202,000000,森林利用土地,闊葉林, ,0,201809,日陞空間資訊股份有限公司,5330.798185650000050,123661.076921999992919,02森林利用土地,12.366107692200000
