LCODE_C1,LCODE_C2,LCODE_C3,METHOD,DATATIME,MDDI_ORG,LCODEC_C1,LCODEC_C2,LCODEC_C3,Shape_Leng,Shape_Area,分類,area_ha
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,242.699588828999993,3900.788921779999782,01農業利用土地,0.390078892178000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,610.397697902999994,9199.870154899999761,01農業利用土地,0.919987015490000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,290.467732322000018,5058.390845259999878,01農業利用土地,0.505839084526000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,604.188786887999981,4644.863280900000063,01農業利用土地,0.464486328090000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,101.965471867000005,530.263811467999972,01農業利用土地,0.053026381146800
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,126.949664334999994,737.798886496000023,01農業利用土地,0.073779888649600
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,404.569142635999981,5467.194626710000193,01農業利用土地,0.546719462671000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,75.840544542499998,319.639116087999980,01農業利用土地,0.031963911608800
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,183.413994892000005,1136.247075069999937,01農業利用土地,0.113624707507000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,117.518771287000007,504.485869795999974,01農業利用土地,0.050448586979600
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,632.940145449000056,10318.222416500000691,01農業利用土地,1.031822241650000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,334.061670434000007,3954.117410169999857,01農業利用土地,0.395411741017000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,75.396889272799996,289.385627038999985,01農業利用土地,0.028938562703900
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,47.673537102099999,108.155061516000004,01農業利用土地,0.010815506151600
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,34.094078121199999,69.891115820699994,01農業利用土地,0.006989111582070
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,90.103810494100003,387.837993093000023,01農業利用土地,0.038783799309300
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,47.589656027600000,130.450925320000010,01農業利用土地,0.013045092532000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,1045.340631260000009,30737.707149599998957,01農業利用土地,3.073770714960000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,143.020969779000012,468.682762937999996,01農業利用土地,0.046868276293800
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,65.747467229700007,185.418133847000007,01農業利用土地,0.018541813384700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,58.853533495500002,153.590656641000010,01農業利用土地,0.015359065664100
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,151.174193239999994,1364.188027299999931,01農業利用土地,0.136418802730000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,131.992511981000007,741.818925504000049,01農業利用土地,0.074181892550400
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,123.831550958999998,929.058192418999965,01農業利用土地,0.092905819241900
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,121.499254476999994,743.584309608000012,01農業利用土地,0.074358430960800
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,1203.515392380000094,12003.529541399999289,01農業利用土地,1.200352954140000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,214.124295732000007,1890.071098509999956,01農業利用土地,0.189007109851000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,120.676766955999994,811.887758128999963,01農業利用土地,0.081188775812900
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,891.871827176000011,11929.594307199999093,01農業利用土地,1.192959430720000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,232.237017514000001,3253.123044330000084,01農業利用土地,0.325312304433000
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,142.758801003999992,606.546718347000024,01農業利用土地,0.060654671834700
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,152.034935023000003,737.280858537999961,01農業利用土地,0.073728085853800
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,73.901131133099994,340.654052607999972,01農業利用土地,0.034065405260800
01,0101,010102,1,202211,亞新國土科技股份有限公司,農業利用土地,農作使用,旱田,141.120804652999993,877.821870162999971,01農業利用土地,0.087782187016300
